comp_1,comp_2,comp_3,label
-0.8280379605586616,0.6144974113299841,-1.5474517367688359,l
-0.5658058785636557,0.4360107006905739,-2.087726178712155,l
-0.4105205876956764,0.426469934190586,-2.3493148705282154,l
-0.6046670694891939,0.40312842469021737,-1.9613373788591895,l
-0.6852450799201084,0.23852641071624106,-1.6454677396473267,l
-0.5271253185094363,0.007013640650830594,-1.7126577935740763,l
-0.8492552898885631,0.4986878484061852,-1.704887914838727,l
-0.5455158584962724,-0.26437333310004274,-1.5883087678985373,l
-0.7047888437288896,0.4781374671043543,-2.489097518205348,l
-0.7424433884246675,1.0676039626391487,-2.641577192868113,l
0.023036279006950905,0.10163241381459036,-1.2292709676161324,l
-0.7795762289310433,0.15862760978327461,-1.175448651962804,l
-0.8945477196221492,0.7681585061384022,-1.6209435888731722,l
-0.1233342701264075,0.3512539794841698,-1.014524358731448,l
-0.4354125736710194,0.9201679317530272,-2.5491388934342325,l
-0.2965094772293414,-0.32965799655815176,-1.9065315207367544,l
-0.1316738335712756,-0.23683792994088618,-0.6038674454687013,l
-0.8004802461539181,1.1108171677121046,-2.2380574293673017,l
-1.0156837175091589,0.39344325623434806,-1.997622535671839,l
-0.23860342055289857,-0.19073890628532175,-0.5376200585780074,l
-0.22641730244917088,-0.7217247211677992,-1.9565513486272474,l
-0.10642588152265767,-0.6664208937197398,-0.6942759989676309,l
-0.558111667147173,0.3834513631573349,-0.9801632111358283,l
-0.8338923994798793,0.5633210327685596,-1.9972598457155923,l
-0.7191912716839045,0.4257734280724798,-2.1204447077811763,l
-0.7039034551609338,0.9189794718083621,-1.1482980923113582,l
-0.8566005207635708,0.5391181027348806,-2.4725869399402436,l
-0.48565364828877033,-0.16339748668775175,-1.9159730993114343,l
-0.8350171867458864,0.5407363068964339,-2.56333701055355,l
-0.5845870260666546,0.02028065253589425,-1.7179459541423217,l
-0.6223669752946289,-0.2606110509552108,-2.2038917224437204,l
-0.7848489357578237,0.6401153834436003,-1.0929767169281974,l
-0.6061372770592658,0.8318502770715506,-2.133268596426023,l
-0.3248525112715241,0.3805267715798893,-0.8409895838386455,l
-0.7575662600937373,0.3349778511763608,-1.2058338934362858,l
-1.043277256322932,0.5963599200948456,-2.333037362072199,l
-0.9335892943574475,0.05300393132053274,-1.863547917135561,l
-0.5958329646883402,-0.20754793636871802,-2.5902060709066324,l
-0.5051823202084678,0.07351320196340606,-1.2708465287109632,l
-0.5683186435194644,-0.11920766505964107,-2.013230477161285,l
-0.45493742277517885,-0.07687031685619637,-2.3765564691154295,l
-0.5579209189977234,0.1714768438036041,-0.8431400215168805,l
-0.6055225417705551,0.7673757300970913,-1.1510228911753615,l
-0.7187280735939895,0.3050479251971467,-2.503658617394123,l
-0.2679283767248077,0.44910134463104284,-1.1781771266842667,l
-0.4534016817595483,0.29026748008479614,-1.444596509446512,l
-0.5517125866007667,0.05229015429109127,-1.2802093599270532,l
-0.30984781398312883,0.6074770379827283,-2.0049784258927965,l
-0.6763710065193281,0.13453228978291842,-1.2201101109796495,l
-0.3276258485180681,-0.15468412116650718,-0.7233272467271663,l
-1.1438695423170246,0.4807141255514858,-1.4260204424309415,l
-0.7908366488706404,-0.05932283171354753,-2.1115216639129732,l
-0.5276934639743738,0.1883558500831415,-2.700774405560285,l
-0.893378638964449,0.07234852992809417,-2.691437052572782,l
-1.0389011749187846,0.27753647771087764,-1.2572773485912656,l
-0.23000799855378015,0.6283692969369793,-1.474824628958188,l
-0.6740425678640087,0.010884242885126157,-1.6849095585081437,l
-1.271004852812752,-0.23864064670795648,-1.3993704504721196,l
-0.4900998620108975,0.0051851407689587755,-2.4292878242242857,l
-0.3396044992592968,-0.1821544668263569,-1.11543250231813,l
-0.8796465223197689,0.3664407499925232,-1.2676485743036823,l
-1.0780938488054674,0.4746454787580914,-1.270801830901435,l
-0.7316471563494455,-0.2814439643526715,-0.7089465570723692,l
-1.0966973865689813,0.5372396927480884,-1.6883058425872477,l
-1.0473598661326193,0.23819341040250125,-2.027257739139461,l
-0.2776704210740154,-0.16887188697080274,-2.4983037646638735,l
-0.2973475758466386,-0.4551347521341381,-0.7014013880921317,l
-0.9788050508627011,0.7247418124461219,-2.610883665148637,l
-0.5597702658729709,0.2402111089494739,-1.9038713498040136,l
-0.4799945652781352,0.2841155495900701,-1.190353509994481,l
-1.0774819444485373,1.1379600072728726,-1.570522579561505,l
-0.8869131654088754,0.14487304591228795,-1.3641072514895398,l
0.06972873871148573,-0.1740534720358895,-0.588734424851272,l
-0.2745287728403146,0.06366917457752774,-1.0313178736099295,l
-0.6285670719106472,0.32019884070298066,-2.091715810972754,l
-0.3272538414279558,0.1958295398744819,-1.3171634273405672,l
-0.8241801682167391,0.41260913323680526,-1.3755524071456633,l
-0.9563494777791902,0.22468397630876943,-2.1875561639231047,l
-1.124412172286637,0.09749584133812189,-2.242114022798889,l
-0.9033393546950013,0.8843568992247061,-1.9624076111458442,l
-0.5683263101830368,1.004406679125207,-1.9036961386158686,l
