comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,label
-0.7570714875416574,1.375923706501795,-3.5114726526063906,-1.640336133914052,-0.9911371735373605,0.13862434486608882,l
-0.6294811982398064,0.33341091852518645,-3.467677757854879,-0.465775763621405,-1.1883637306364765,-2.0843976867639245,l
0.910614759037516,0.9396961206125313,-2.7072097800446717,-1.3883307236369595,-1.2894771201968627,-0.6045733671019055,l
-1.2391070448249073,1.362836254022652,-3.5984573298113314,-2.1442733324710157,-1.6049870993840119,-2.718339776601939,l
-0.5963568392320008,0.9761918635550979,-1.83301867690236,-1.6007350072562754,-1.0896128523890412,-1.3334903125742974,l
0.3575833176126363,0.9936465298710072,-3.9205612851455154,-1.8361635647473689,-1.2728929500236625,-0.2080142483820454,l
0.14143786822698579,1.2562303580493992,-2.7511028792049195,0.5267852296870446,-0.9564527034608188,-2.2425074017791147,l
-0.9004927073998601,0.9396741538431065,-4.02787110806574,-0.46412685602016457,-0.7861795706308052,-0.2951848235530987,l
-0.4631278410976804,0.6770014804226037,-2.8420972670149847,-2.3399677851596845,-1.6986643560167802,-1.1896854917050035,l
0.6305598286700141,0.9622261446371451,-2.4136365495974053,0.10643045866840418,-0.5851043379710769,-2.2732569039739787,l
-1.1365929871794558,1.2961501845546353,-3.854526921579834,-1.9925811549443015,-1.7498679424811585,-0.8104518594275049,l
0.7412168674915813,1.7189368852005604,-2.7515874485526792,-2.670814707462221,-1.0891683828520466,1.1979767659389295,l
0.07290751458590074,1.3731907237103036,-2.9369327320579237,-1.2133948872645473,-0.7817005314717947,-1.853298082496094,l
-0.5943032225132792,0.27929123882449114,-2.7424691672515418,-1.3657266841627285,-0.7981683320538926,-2.167730762023691,l
0.5030562239260222,0.7410553540466521,-3.033884722845959,-1.5907223679604579,-0.8885460162747736,-0.33880464556028966,l
0.2147028779484339,2.251600261492022,-3.8283634386203667,-3.8805654904591265,-1.0351089563158165,1.7671523285816486,l
0.7609927759996852,0.6985425800008196,-1.0222534486082777,0.03116026064057081,-1.2098971893262027,-0.9318363561609496,l
1.8397510874538574,1.5436411519345965,-2.2417080490436145,-1.3914296385428675,-0.9970501752076036,-1.3009661496882323,l
-0.9230050366010794,1.0455706268770573,-3.5391828666056173,0.27909851173323263,-0.7241621418167072,-2.031925589657701,l
-1.0091569432724512,0.5709075821625644,-2.949527280516844,-0.6279025756230666,-0.3855028073715026,-2.0111485958785047,l
-1.2754415237682757,0.25267853335046264,-3.643519131215973,-0.7508572874636951,-1.5406367802352505,-2.6331180498294597,l
-0.5699992156721424,0.763963168515015,-3.2413211551967787,1.509917822468483,-1.1442949811406,-1.8854594921583063,l
1.156480925494815,1.2327430099333854,-3.338349573189727,-1.5273451491980605,0.004418539801451573,1.1347412947703035,l
1.218251625890497,0.8815851789907265,-4.1095836711469635,-2.4161835584936493,-1.1187486176779213,0.18339282821661565,l
0.7056913721854192,1.3923143855037037,-2.149331283148883,0.18809551668606958,-0.6032237923831222,-1.8662116687089778,l
-0.3448140637361501,-0.0626547124505183,-1.7875542261931296,-0.9499498980425108,-0.5556159982796584,-1.8272416301381487,l
-0.0033882851935331418,0.879611309033262,-0.8524116045461555,0.4882790228002766,-0.4041684245863253,-0.9685996989066433,l
-0.4088571285253719,1.056862547271269,-5.103790109612382,-0.9765500463516626,-1.6790028555378491,-0.5541697303322337,l
-0.7844735498847387,2.0844769215678065,-1.8349355911462821,0.5193842881225561,-0.9074562198365563,-0.8737785778985705,l
